,Role,Season,Class,Region
0,tank,Legion 7.2.0,Druid,EU
1,tank,Legion 7.2.0,Druid,US
2,tank,Legion 7.2.0,Demon Hunter,EU
3,tank,Legion 7.2.0,Death Knight,EU
4,tank,Legion 7.2.0,Druid,EU
5,tank,Legion 7.2.0,Monk,US
6,tank,Legion 7.2.0,Death Knight,EU
7,tank,Legion 7.2.0,Death Knight,EU
8,tank,Legion 7.2.0,Death Knight,EU
9,tank,Legion 7.2.0,Demon Hunter,EU
10,tank,Legion 7.2.0,Monk,US
11,tank,Legion 7.2.0,Druid,EU
12,tank,Legion 7.2.0,Death Knight,EU
13,tank,Legion 7.2.0,Demon Hunter,EU
14,tank,Legion 7.2.0,Paladin,KR
15,tank,Legion 7.2.0,Monk,EU
16,tank,Legion 7.2.0,Demon Hunter,EU
17,tank,Legion 7.2.0,Death Knight,EU
18,tank,Legion 7.2.0,Death Knight,EU
19,tank,Legion 7.2.0,Death Knight,EU
20,tank,Legion 7.2.0,Warrior,EU
21,tank,Legion 7.2.0,Druid,US
22,tank,Legion 7.2.0,Demon Hunter,US
23,tank,Legion 7.2.0,Druid,US
24,tank,Legion 7.2.0,Death Knight,EU
25,tank,Legion 7.2.0,Druid,EU
26,tank,Legion 7.2.0,Death Knight,EU
27,tank,Legion 7.2.0,Death Knight,EU
28,tank,Legion 7.2.0,Demon Hunter,EU
29,tank,Legion 7.2.0,Death Knight,EU
30,tank,Legion 7.2.0,Death Knight,EU
31,tank,Legion 7.2.0,Warrior,US
32,tank,Legion 7.2.0,Death Knight,EU
33,tank,Legion 7.2.0,Warrior,EU
34,tank,Legion 7.2.0,Paladin,EU
35,tank,Legion 7.2.0,Druid,US
36,tank,Legion 7.2.0,Demon Hunter,US
37,tank,Legion 7.2.0,Paladin,US
38,tank,Legion 7.2.0,Paladin,US
39,tank,Legion 7.2.0,Paladin,EU
40,tank,Legion 7.2.0,Demon Hunter,EU
41,tank,Legion 7.2.0,Druid,EU
42,tank,Legion 7.2.0,Death Knight,EU
43,tank,Legion 7.2.0,Paladin,EU
44,tank,Legion 7.2.0,Demon Hunter,EU
45,tank,Legion 7.2.0,Death Knight,US
46,tank,Legion 7.2.0,Death Knight,EU
47,tank,Legion 7.2.0,Paladin,EU
48,tank,Legion 7.2.0,Death Knight,EU
49,tank,Legion 7.2.0,Demon Hunter,US
50,tank,Legion 7.2.0,Warrior,EU
51,tank,Legion 7.2.0,Druid,US
52,tank,Legion 7.2.0,Death Knight,US
53,tank,Legion 7.2.0,Death Knight,TW
54,tank,Legion 7.2.0,Demon Hunter,US
55,tank,Legion 7.2.0,Druid,KR
56,tank,Legion 7.2.0,Warrior,EU
57,tank,Legion 7.2.0,Monk,US
58,tank,Legion 7.2.0,Warrior,EU
59,tank,Legion 7.2.0,Demon Hunter,EU
60,tank,Legion 7.2.0,Monk,EU
61,tank,Legion 7.2.0,Death Knight,US
62,tank,Legion 7.2.0,Druid,EU
63,tank,Legion 7.2.0,Demon Hunter,EU
64,tank,Legion 7.2.0,Monk,US
65,tank,Legion 7.2.0,Death Knight,EU
66,tank,Legion 7.2.0,Demon Hunter,US
67,tank,Legion 7.2.0,Paladin,EU
68,tank,Legion 7.2.0,Death Knight,EU
69,tank,Legion 7.2.0,Demon Hunter,EU
70,tank,Legion 7.2.0,Monk,US
71,tank,Legion 7.2.0,Paladin,EU
72,tank,Legion 7.2.0,Druid,US
73,tank,Legion 7.2.0,Death Knight,EU
74,tank,Legion 7.2.0,Druid,US
75,tank,Legion 7.2.0,Warrior,EU
76,tank,Legion 7.2.0,Death Knight,EU
77,tank,Legion 7.2.0,Paladin,KR
78,tank,Legion 7.2.0,Paladin,EU
79,tank,Legion 7.2.0,Paladin,EU
80,tank,Legion 7.2.0,Druid,EU
81,tank,Legion 7.2.0,Druid,EU
82,tank,Legion 7.2.0,Death Knight,EU
83,tank,Legion 7.2.0,Paladin,US
84,tank,Legion 7.2.0,Death Knight,EU
85,tank,Legion 7.2.0,Warrior,EU
86,tank,Legion 7.2.0,Druid,EU
87,tank,Legion 7.2.0,Demon Hunter,EU
88,tank,Legion 7.2.0,Paladin,KR
89,tank,Legion 7.2.0,Monk,EU
90,tank,Legion 7.2.0,Death Knight,EU
91,tank,Legion 7.2.0,Monk,EU
92,tank,Legion 7.2.0,Monk,EU
93,tank,Legion 7.2.0,Death Knight,EU
94,tank,Legion 7.2.0,Demon Hunter,EU
95,tank,Legion 7.2.0,Death Knight,EU
96,tank,Legion 7.2.0,Paladin,EU
97,tank,Legion 7.2.0,Monk,EU
98,tank,Legion 7.2.0,Death Knight,EU
99,tank,Legion 7.2.0,Death Knight,EU
100,tank,Legion 7.2.0,Death Knight,EU
101,tank,Legion 7.2.0,Paladin,EU
102,tank,Legion 7.2.0,Druid,EU
103,tank,Legion 7.2.0,Death Knight,EU
104,tank,Legion 7.2.0,Monk,EU
105,tank,Legion 7.2.0,Death Knight,US
106,tank,Legion 7.2.0,Druid,KR
107,tank,Legion 7.2.0,Druid,EU
108,tank,Legion 7.2.0,Demon Hunter,EU
109,tank,Legion 7.2.0,Druid,EU
110,tank,Legion 7.2.0,Death Knight,EU
111,tank,Legion 7.2.0,Death Knight,EU
112,tank,Legion 7.2.0,Paladin,EU
113,tank,Legion 7.2.0,Monk,EU
114,tank,Legion 7.2.0,Druid,EU
115,tank,Legion 7.2.0,Death Knight,EU
116,tank,Legion 7.2.0,Death Knight,EU
117,tank,Legion 7.2.0,Warrior,EU
118,tank,Legion 7.2.0,Druid,EU
119,tank,Legion 7.2.0,Monk,US
120,tank,Legion 7.2.0,Death Knight,EU
121,tank,Legion 7.2.0,Druid,EU
122,tank,Legion 7.2.0,Druid,US
123,tank,Legion 7.2.0,Druid,EU
124,tank,Legion 7.2.0,Paladin,US
125,tank,Legion 7.2.0,Druid,EU
126,tank,Legion 7.2.0,Warrior,EU
127,tank,Legion 7.2.0,Druid,EU
128,tank,Legion 7.2.0,Paladin,EU
129,tank,Legion 7.2.0,Death Knight,EU
130,tank,Legion 7.2.0,Druid,US
131,tank,Legion 7.2.0,Paladin,EU
132,tank,Legion 7.2.0,Death Knight,EU
133,tank,Legion 7.2.0,Demon Hunter,EU
134,tank,Legion 7.2.0,Druid,EU
135,tank,Legion 7.2.0,Druid,EU
136,tank,Legion 7.2.0,Druid,US
137,tank,Legion 7.2.0,Death Knight,EU
138,tank,Legion 7.2.0,Death Knight,EU
139,tank,Legion 7.2.0,Monk,EU
140,tank,Legion 7.2.0,Death Knight,US
141,tank,Legion 7.2.0,Paladin,US
142,tank,Legion 7.2.0,Druid,EU
143,tank,Legion 7.2.0,Monk,EU
144,tank,Legion 7.2.0,Paladin,EU
145,tank,Legion 7.2.0,Paladin,EU
146,tank,Legion 7.2.0,Druid,US
147,tank,Legion 7.2.0,Druid,EU
148,tank,Legion 7.2.0,Druid,EU
149,tank,Legion 7.2.0,Druid,EU
150,tank,Legion 7.2.0,Druid,EU
151,tank,Legion 7.2.0,Druid,EU
152,tank,Legion 7.2.0,Monk,US
153,tank,Legion 7.2.0,Monk,EU
154,tank,Legion 7.2.0,Death Knight,EU
155,tank,Legion 7.2.0,Warrior,EU
156,tank,Legion 7.2.0,Demon Hunter,EU
157,tank,Legion 7.2.0,Demon Hunter,EU
158,tank,Legion 7.2.0,Warrior,US
159,tank,Legion 7.2.0,Monk,EU
160,tank,Legion 7.2.0,Warrior,EU
161,tank,Legion 7.2.0,Demon Hunter,US
162,tank,Legion 7.2.0,Demon Hunter,EU
163,tank,Legion 7.2.0,Death Knight,EU
164,tank,Legion 7.2.0,Warrior,EU
165,tank,Legion 7.2.0,Paladin,EU
166,tank,Legion 7.2.0,Demon Hunter,EU
167,tank,Legion 7.2.0,Druid,US
168,tank,Legion 7.2.0,Warrior,EU
169,tank,Legion 7.2.0,Druid,EU
170,tank,Legion 7.2.0,Paladin,US
171,tank,Legion 7.2.0,Druid,EU
172,tank,Legion 7.2.0,Demon Hunter,EU
173,tank,Legion 7.2.0,Demon Hunter,EU
174,tank,Legion 7.2.0,Monk,EU
175,tank,Legion 7.2.0,Demon Hunter,EU
176,tank,Legion 7.2.0,Death Knight,EU
177,tank,Legion 7.2.0,Paladin,EU
178,tank,Legion 7.2.0,Demon Hunter,US
179,tank,Legion 7.2.0,Paladin,EU
180,tank,Legion 7.2.0,Paladin,EU
181,tank,Legion 7.2.0,Warrior,EU
182,tank,Legion 7.2.0,Druid,EU
183,tank,Legion 7.2.0,Druid,EU
184,tank,Legion 7.2.0,Death Knight,EU
185,tank,Legion 7.2.0,Paladin,EU
186,tank,Legion 7.2.0,Warrior,TW
187,tank,Legion 7.2.0,Death Knight,EU
188,tank,Legion 7.2.0,Druid,EU
189,tank,Legion 7.2.0,Warrior,EU
190,tank,Legion 7.2.0,Paladin,EU
191,tank,Legion 7.2.0,Death Knight,US
192,tank,Legion 7.2.0,Druid,EU
193,tank,Legion 7.2.0,Death Knight,US
194,tank,Legion 7.2.0,Demon Hunter,EU
195,tank,Legion 7.2.0,Death Knight,EU
196,tank,Legion 7.2.0,Monk,EU
197,tank,Legion 7.2.0,Death Knight,EU
198,tank,Legion 7.2.0,Death Knight,US
199,tank,Legion 7.2.0,Druid,EU
200,tank,Legion 7.3.0,Death Knight,EU
201,tank,Legion 7.3.0,Demon Hunter,US
202,tank,Legion 7.3.0,Monk,US
203,tank,Legion 7.3.0,Paladin,EU
204,tank,Legion 7.3.0,Death Knight,EU
205,tank,Legion 7.3.0,Death Knight,US
206,tank,Legion 7.3.0,Death Knight,EU
207,tank,Legion 7.3.0,Death Knight,US
208,tank,Legion 7.3.0,Death Knight,EU
209,tank,Legion 7.3.0,Demon Hunter,EU
210,tank,Legion 7.3.0,Paladin,KR
211,tank,Legion 7.3.0,Death Knight,US
212,tank,Legion 7.3.0,Druid,EU
213,tank,Legion 7.3.0,Death Knight,US
214,tank,Legion 7.3.0,Death Knight,EU
215,tank,Legion 7.3.0,Death Knight,EU
216,tank,Legion 7.3.0,Paladin,US
217,tank,Legion 7.3.0,Demon Hunter,EU
218,tank,Legion 7.3.0,Death Knight,EU
219,tank,Legion 7.3.0,Death Knight,EU
220,tank,Legion 7.3.0,Demon Hunter,US
221,tank,Legion 7.3.0,Death Knight,EU
222,tank,Legion 7.3.0,Death Knight,EU
223,tank,Legion 7.3.0,Paladin,US
224,tank,Legion 7.3.0,Demon Hunter,US
225,tank,Legion 7.3.0,Death Knight,EU
226,tank,Legion 7.3.0,Paladin,US
227,tank,Legion 7.3.0,Death Knight,US
228,tank,Legion 7.3.0,Demon Hunter,EU
229,tank,Legion 7.3.0,Death Knight,US
230,tank,Legion 7.3.0,Demon Hunter,EU
231,tank,Legion 7.3.0,Death Knight,EU
232,tank,Legion 7.3.0,Death Knight,KR
233,tank,Legion 7.3.0,Death Knight,EU
234,tank,Legion 7.3.0,Paladin,US
235,tank,Legion 7.3.0,Paladin,EU
236,tank,Legion 7.3.0,Monk,US
237,tank,Legion 7.3.0,Druid,EU
238,tank,Legion 7.3.0,Death Knight,US
239,tank,Legion 7.3.0,Druid,EU
240,tank,Legion 7.3.0,Paladin,EU
241,tank,Legion 7.3.0,Druid,EU
242,tank,Legion 7.3.0,Death Knight,EU
243,tank,Legion 7.3.0,Death Knight,EU
244,tank,Legion 7.3.0,Death Knight,EU
245,tank,Legion 7.3.0,Death Knight,EU
246,tank,Legion 7.3.0,Death Knight,EU
247,tank,Legion 7.3.0,Death Knight,EU
248,tank,Legion 7.3.0,Death Knight,EU
249,tank,Legion 7.3.0,Warrior,US
250,tank,Legion 7.3.0,Death Knight,EU
251,tank,Legion 7.3.0,Demon Hunter,EU
252,tank,Legion 7.3.0,Death Knight,EU
253,tank,Legion 7.3.0,Paladin,EU
254,tank,Legion 7.3.0,Death Knight,KR
255,tank,Legion 7.3.0,Paladin,KR
256,tank,Legion 7.3.0,Demon Hunter,EU
257,tank,Legion 7.3.0,Paladin,KR
258,tank,Legion 7.3.0,Death Knight,EU
259,tank,Legion 7.3.0,Death Knight,EU
260,tank,Legion 7.3.0,Death Knight,EU
261,tank,Legion 7.3.0,Demon Hunter,EU
262,tank,Legion 7.3.0,Death Knight,US
263,tank,Legion 7.3.0,Death Knight,EU
264,tank,Legion 7.3.0,Paladin,EU
265,tank,Legion 7.3.0,Paladin,KR
266,tank,Legion 7.3.0,Death Knight,EU
267,tank,Legion 7.3.0,Death Knight,EU
268,tank,Legion 7.3.0,Death Knight,US
269,tank,Legion 7.3.0,Demon Hunter,US
270,tank,Legion 7.3.0,Death Knight,US
271,tank,Legion 7.3.0,Death Knight,EU
272,tank,Legion 7.3.0,Demon Hunter,EU
273,tank,Legion 7.3.0,Death Knight,EU
274,tank,Legion 7.3.0,Demon Hunter,KR
275,tank,Legion 7.3.0,Monk,US
276,tank,Legion 7.3.0,Demon Hunter,TW
277,tank,Legion 7.3.0,Death Knight,EU
278,tank,Legion 7.3.0,Druid,US
279,tank,Legion 7.3.0,Death Knight,EU
280,tank,Legion 7.3.0,Warrior,US
281,tank,Legion 7.3.0,Death Knight,EU
282,tank,Legion 7.3.0,Druid,EU
283,tank,Legion 7.3.0,Death Knight,US
284,tank,Legion 7.3.0,Death Knight,EU
285,tank,Legion 7.3.0,Demon Hunter,EU
286,tank,Legion 7.3.0,Death Knight,EU
287,tank,Legion 7.3.0,Death Knight,EU
288,tank,Legion 7.3.0,Demon Hunter,US
289,tank,Legion 7.3.0,Death Knight,EU
290,tank,Legion 7.3.0,Death Knight,EU
291,tank,Legion 7.3.0,Demon Hunter,EU
292,tank,Legion 7.3.0,Death Knight,EU
293,tank,Legion 7.3.0,Paladin,KR
294,tank,Legion 7.3.0,Death Knight,US
295,tank,Legion 7.3.0,Death Knight,KR
296,tank,Legion 7.3.0,Monk,EU
297,tank,Legion 7.3.0,Warrior,EU
298,tank,Legion 7.3.0,Warrior,US
299,tank,Legion 7.3.0,Paladin,EU
300,tank,Legion 7.3.0,Death Knight,EU
301,tank,Legion 7.3.0,Death Knight,EU
302,tank,Legion 7.3.0,Warrior,EU
303,tank,Legion 7.3.0,Death Knight,EU
304,tank,Legion 7.3.0,Death Knight,EU
305,tank,Legion 7.3.0,Death Knight,EU
306,tank,Legion 7.3.0,Death Knight,EU
307,tank,Legion 7.3.0,Death Knight,EU
308,tank,Legion 7.3.0,Death Knight,EU
309,tank,Legion 7.3.0,Death Knight,EU
310,tank,Legion 7.3.0,Demon Hunter,EU
311,tank,Legion 7.3.0,Demon Hunter,US
312,tank,Legion 7.3.0,Death Knight,EU
313,tank,Legion 7.3.0,Druid,US
314,tank,Legion 7.3.0,Demon Hunter,US
315,tank,Legion 7.3.0,Death Knight,US
316,tank,Legion 7.3.0,Death Knight,EU
317,tank,Legion 7.3.0,Demon Hunter,KR
318,tank,Legion 7.3.0,Death Knight,EU
319,tank,Legion 7.3.0,Druid,US
320,tank,Legion 7.3.0,Druid,EU
321,tank,Legion 7.3.0,Death Knight,EU
322,tank,Legion 7.3.0,Death Knight,EU
323,tank,Legion 7.3.0,Paladin,US
324,tank,Legion 7.3.0,Druid,KR
325,tank,Legion 7.3.0,Demon Hunter,EU
326,tank,Legion 7.3.0,Paladin,EU
327,tank,Legion 7.3.0,Death Knight,EU
328,tank,Legion 7.3.0,Paladin,US
329,tank,Legion 7.3.0,Demon Hunter,EU
330,tank,Legion 7.3.0,Monk,KR
331,tank,Legion 7.3.0,Death Knight,US
332,tank,Legion 7.3.0,Monk,KR
333,tank,Legion 7.3.0,Warrior,US
334,tank,Legion 7.3.0,Demon Hunter,EU
335,tank,Legion 7.3.0,Death Knight,EU
336,tank,Legion 7.3.0,Death Knight,EU
337,tank,Legion 7.3.0,Death Knight,EU
338,tank,Legion 7.3.0,Death Knight,EU
339,tank,Legion 7.3.0,Death Knight,US
340,tank,Legion 7.3.0,Death Knight,EU
341,tank,Legion 7.3.0,Demon Hunter,EU
342,tank,Legion 7.3.0,Death Knight,EU
343,tank,Legion 7.3.0,Demon Hunter,EU
344,tank,Legion 7.3.0,Demon Hunter,EU
345,tank,Legion 7.3.0,Warrior,EU
346,tank,Legion 7.3.0,Death Knight,EU
347,tank,Legion 7.3.0,Demon Hunter,US
348,tank,Legion 7.3.0,Paladin,EU
349,tank,Legion 7.3.0,Death Knight,EU
350,tank,Legion 7.3.0,Death Knight,EU
351,tank,Legion 7.3.0,Death Knight,EU
352,tank,Legion 7.3.0,Paladin,US
353,tank,Legion 7.3.0,Death Knight,KR
354,tank,Legion 7.3.0,Death Knight,EU
355,tank,Legion 7.3.0,Monk,EU
356,tank,Legion 7.3.0,Death Knight,US
357,tank,Legion 7.3.0,Druid,EU
358,tank,Legion 7.3.0,Death Knight,US
359,tank,Legion 7.3.0,Death Knight,EU
360,tank,Legion 7.3.0,Monk,US
361,tank,Legion 7.3.0,Demon Hunter,US
362,tank,Legion 7.3.0,Paladin,EU
363,tank,Legion 7.3.0,Death Knight,US
364,tank,Legion 7.3.0,Demon Hunter,EU
365,tank,Legion 7.3.0,Demon Hunter,KR
366,tank,Legion 7.3.0,Death Knight,KR
367,tank,Legion 7.3.0,Druid,US
368,tank,Legion 7.3.0,Death Knight,EU
369,tank,Legion 7.3.0,Death Knight,EU
370,tank,Legion 7.3.0,Death Knight,EU
371,tank,Legion 7.3.0,Demon Hunter,EU
372,tank,Legion 7.3.0,Demon Hunter,EU
373,tank,Legion 7.3.0,Death Knight,EU
374,tank,Legion 7.3.0,Death Knight,EU
375,tank,Legion 7.3.0,Demon Hunter,EU
376,tank,Legion 7.3.0,Death Knight,EU
377,tank,Legion 7.3.0,Death Knight,US
378,tank,Legion 7.3.0,Druid,EU
379,tank,Legion 7.3.0,Demon Hunter,EU
380,tank,Legion 7.3.0,Death Knight,EU
381,tank,Legion 7.3.0,Druid,US
382,tank,Legion 7.3.0,Death Knight,EU
383,tank,Legion 7.3.0,Death Knight,EU
384,tank,Legion 7.3.0,Death Knight,EU
385,tank,Legion 7.3.0,Death Knight,EU
386,tank,Legion 7.3.0,Death Knight,EU
387,tank,Legion 7.3.0,Death Knight,EU
388,tank,Legion 7.3.0,Death Knight,EU
389,tank,Legion 7.3.0,Death Knight,EU
390,tank,Legion 7.3.0,Death Knight,EU
391,tank,Legion 7.3.0,Death Knight,EU
392,tank,Legion 7.3.0,Monk,US
393,tank,Legion 7.3.0,Death Knight,EU
394,tank,Legion 7.3.0,Death Knight,KR
395,tank,Legion 7.3.0,Death Knight,EU
396,tank,Legion 7.3.0,Death Knight,EU
397,tank,Legion 7.3.0,Death Knight,EU
398,tank,Legion 7.3.0,Demon Hunter,KR
399,tank,Legion 7.3.0,Demon Hunter,EU
400,tank,Legion 7.3.0,Death Knight,EU
401,tank,Legion 7.3.0,Demon Hunter,EU
402,tank,Legion 7.3.0,Demon Hunter,US
403,tank,Legion 7.3.0,Death Knight,US
404,tank,Legion 7.3.0,Death Knight,EU
405,tank,Legion 7.3.0,Death Knight,EU
406,tank,Legion 7.3.0,Druid,KR
407,tank,Legion 7.3.0,Demon Hunter,US
408,tank,Legion 7.3.0,Demon Hunter,EU
409,tank,Legion 7.3.0,Warrior,KR
410,tank,Legion 7.3.0,Death Knight,US
411,tank,Legion 7.3.0,Death Knight,EU
412,tank,Legion 7.3.0,Demon Hunter,EU
413,tank,Legion 7.3.0,Demon Hunter,KR
414,tank,Legion 7.3.0,Druid,EU
415,tank,Legion 7.3.0,Death Knight,US
416,tank,Legion 7.3.0,Death Knight,EU
417,tank,Legion 7.3.0,Demon Hunter,EU
418,tank,Legion 7.3.0,Paladin,US
419,tank,Legion 7.3.0,Druid,US
420,tank,Legion 7.3.0,Druid,KR
421,tank,Legion 7.3.0,Warrior,US
422,tank,Legion 7.3.0,Paladin,US
423,tank,Legion 7.3.0,Death Knight,EU
424,tank,Legion 7.3.0,Monk,US
425,tank,Legion 7.3.0,Monk,EU
426,tank,Legion 7.3.0,Paladin,US
427,tank,Legion 7.3.0,Death Knight,EU
428,tank,Legion 7.3.0,Death Knight,EU
429,tank,Legion 7.3.0,Demon Hunter,US
430,tank,Legion 7.3.0,Death Knight,EU
431,tank,Legion 7.3.0,Warrior,EU
432,tank,Legion 7.3.0,Warrior,KR
433,tank,Legion 7.3.0,Demon Hunter,KR
434,tank,Legion 7.3.0,Death Knight,US
435,tank,Legion 7.3.0,Death Knight,EU
436,tank,Legion 7.3.0,Death Knight,US
437,tank,Legion 7.3.0,Monk,EU
438,tank,Legion 7.3.0,Death Knight,KR
439,tank,Legion 7.3.0,Death Knight,EU
440,tank,Legion 7.3.0,Monk,US
441,tank,Legion 7.3.0,Demon Hunter,US
442,tank,Legion 7.3.0,Paladin,EU
443,tank,Legion 7.3.0,Death Knight,EU
444,tank,Legion 7.3.0,Death Knight,EU
445,tank,Legion 7.3.0,Death Knight,US
446,tank,Legion 7.3.0,Death Knight,EU
447,tank,Legion 7.3.0,Monk,EU
448,tank,Legion 7.3.0,Druid,US
449,tank,Legion 7.3.0,Druid,EU
450,tank,Legion 7.3.0,Demon Hunter,EU
451,tank,Legion 7.3.0,Death Knight,US
452,tank,Legion 7.3.0,Monk,EU
453,tank,Legion 7.3.0,Death Knight,EU
454,tank,Legion 7.3.0,Death Knight,EU
455,tank,Legion 7.3.0,Paladin,US
456,tank,Legion 7.3.0,Monk,KR
457,tank,Legion 7.3.0,Death Knight,EU
458,tank,Legion 7.3.0,Death Knight,EU
459,tank,Legion 7.3.0,Druid,US
460,tank,Legion 7.3.0,Death Knight,US
461,tank,Legion 7.3.0,Demon Hunter,KR
462,tank,Legion 7.3.0,Death Knight,EU
463,tank,Legion 7.3.0,Demon Hunter,EU
464,tank,Legion 7.3.0,Death Knight,US
465,tank,Legion 7.3.0,Demon Hunter,US
466,tank,Legion 7.3.0,Death Knight,US
467,tank,Legion 7.3.0,Monk,EU
468,tank,Legion 7.3.0,Druid,US
469,tank,Legion 7.3.0,Death Knight,EU
470,tank,Legion 7.3.0,Death Knight,EU
471,tank,Legion 7.3.0,Demon Hunter,US
472,tank,Legion 7.3.0,Death Knight,KR
473,tank,Legion 7.3.0,Death Knight,US
474,tank,Legion 7.3.0,Death Knight,EU
475,tank,Legion 7.3.0,Druid,EU
476,tank,Legion 7.3.0,Demon Hunter,EU
477,tank,Legion 7.3.0,Death Knight,EU
478,tank,Legion 7.3.0,Warrior,EU
479,tank,Legion 7.3.0,Death Knight,EU
480,tank,Legion 7.3.0,Demon Hunter,EU
481,tank,Legion 7.3.0,Death Knight,EU
482,tank,Legion 7.3.0,Druid,EU
483,tank,Legion 7.3.0,Death Knight,EU
484,tank,Legion 7.3.0,Death Knight,EU
485,tank,Legion 7.3.0,Paladin,EU
486,tank,Legion 7.3.0,Demon Hunter,US
487,tank,Legion 7.3.0,Monk,EU
488,tank,Legion 7.3.0,Druid,EU
489,tank,Legion 7.3.0,Death Knight,US
490,tank,Legion 7.3.0,Demon Hunter,EU
491,tank,Legion 7.3.0,Death Knight,EU
492,tank,Legion 7.3.0,Demon Hunter,KR
493,tank,Legion 7.3.0,Death Knight,EU
494,tank,Legion 7.3.0,Death Knight,EU
495,tank,Legion 7.3.0,Druid,EU
496,tank,Legion 7.3.0,Death Knight,EU
497,tank,Legion 7.3.0,Death Knight,EU
498,tank,Legion 7.3.0,Monk,US
499,tank,Legion 7.3.0,Druid,EU
500,tank,BfA Season 1,Death Knight,EU
501,tank,BfA Season 1,Death Knight,US
502,tank,BfA Season 1,Monk,US
503,tank,BfA Season 1,Death Knight,EU
504,tank,BfA Season 1,Warrior,EU
505,tank,BfA Season 1,Death Knight,US
506,tank,BfA Season 1,Death Knight,KR
507,tank,BfA Season 1,Monk,US
508,tank,BfA Season 1,Death Knight,US
509,tank,BfA Season 1,Death Knight,EU
510,tank,BfA Season 1,Death Knight,EU
511,tank,BfA Season 1,Death Knight,US
512,tank,BfA Season 1,Death Knight,EU
513,tank,BfA Season 1,Death Knight,EU
514,tank,BfA Season 1,Death Knight,TW
515,tank,BfA Season 1,Death Knight,KR
516,tank,BfA Season 1,Death Knight,EU
517,tank,BfA Season 1,Death Knight,EU
518,tank,BfA Season 1,Death Knight,EU
519,tank,BfA Season 1,Monk,EU
520,tank,BfA Season 1,Paladin,US
521,tank,BfA Season 1,Warrior,US
522,tank,BfA Season 1,Death Knight,US
523,tank,BfA Season 1,Monk,US
524,tank,BfA Season 1,Death Knight,US
525,tank,BfA Season 1,Death Knight,KR
526,tank,BfA Season 1,Death Knight,EU
527,tank,BfA Season 1,Warrior,EU
528,tank,BfA Season 1,Warrior,KR
529,tank,BfA Season 1,Death Knight,EU
530,tank,BfA Season 1,Death Knight,US
531,tank,BfA Season 1,Death Knight,US
532,tank,BfA Season 1,Paladin,US
533,tank,BfA Season 1,Death Knight,EU
534,tank,BfA Season 1,Warrior,EU
535,tank,BfA Season 1,Monk,US
536,tank,BfA Season 1,Death Knight,EU
537,tank,BfA Season 1,Death Knight,US
538,tank,BfA Season 1,Warrior,KR
539,tank,BfA Season 1,Demon Hunter,TW
540,tank,BfA Season 1,Death Knight,US
541,tank,BfA Season 1,Monk,EU
542,tank,BfA Season 1,Warrior,KR
543,tank,BfA Season 1,Death Knight,KR
544,tank,BfA Season 1,Death Knight,KR
545,tank,BfA Season 1,Death Knight,EU
546,tank,BfA Season 1,Death Knight,US
547,tank,BfA Season 1,Death Knight,US
548,tank,BfA Season 1,Death Knight,EU
549,tank,BfA Season 1,Death Knight,KR
550,tank,BfA Season 1,Monk,EU
551,tank,BfA Season 1,Monk,US
552,tank,BfA Season 1,Druid,KR
553,tank,BfA Season 1,Death Knight,US
554,tank,BfA Season 1,Monk,EU
555,tank,BfA Season 1,Death Knight,EU
556,tank,BfA Season 1,Death Knight,TW
557,tank,BfA Season 1,Death Knight,US
558,tank,BfA Season 1,Monk,US
559,tank,BfA Season 1,Death Knight,EU
560,tank,BfA Season 1,Death Knight,KR
561,tank,BfA Season 1,Death Knight,EU
562,tank,BfA Season 1,Warrior,EU
563,tank,BfA Season 1,Death Knight,TW
564,tank,BfA Season 1,Death Knight,US
565,tank,BfA Season 1,Warrior,EU
566,tank,BfA Season 1,Warrior,US
567,tank,BfA Season 1,Death Knight,EU
568,tank,BfA Season 1,Death Knight,KR
569,tank,BfA Season 1,Death Knight,EU
570,tank,BfA Season 1,Demon Hunter,US
571,tank,BfA Season 1,Paladin,KR
572,tank,BfA Season 1,Demon Hunter,TW
573,tank,BfA Season 1,Death Knight,US
574,tank,BfA Season 1,Monk,EU
575,tank,BfA Season 1,Warrior,KR
576,tank,BfA Season 1,Monk,EU
577,tank,BfA Season 1,Death Knight,US
578,tank,BfA Season 1,Death Knight,EU
579,tank,BfA Season 1,Death Knight,KR
580,tank,BfA Season 1,Death Knight,EU
581,tank,BfA Season 1,Death Knight,EU
582,tank,BfA Season 1,Death Knight,EU
583,tank,BfA Season 1,Death Knight,US
584,tank,BfA Season 1,Death Knight,EU
585,tank,BfA Season 1,Warrior,US
586,tank,BfA Season 1,Death Knight,KR
587,tank,BfA Season 1,Warrior,EU
588,tank,BfA Season 1,Death Knight,EU
589,tank,BfA Season 1,Death Knight,US
590,tank,BfA Season 1,Warrior,KR
591,tank,BfA Season 1,Warrior,US
592,tank,BfA Season 1,Warrior,KR
593,tank,BfA Season 1,Death Knight,KR
594,tank,BfA Season 1,Paladin,US
595,tank,BfA Season 1,Warrior,EU
596,tank,BfA Season 1,Warrior,KR
597,tank,BfA Season 1,Monk,KR
598,tank,BfA Season 1,Death Knight,EU
599,tank,BfA Season 1,Death Knight,US
600,tank,BfA Season 1,Death Knight,EU
601,tank,BfA Season 1,Death Knight,EU
602,tank,BfA Season 1,Death Knight,TW
603,tank,BfA Season 1,Death Knight,US
604,tank,BfA Season 1,Monk,EU
605,tank,BfA Season 1,Death Knight,KR
